filename,loc,description,rating,reason
bayes_beta.ipynb,50,Fitting Beta distribution parameters using grid search and scipy optimization,5,Solid statistical modeling work with visualization
beatles.ipynb,150,Advanced image processing algorithm detecting and aligning text rows using OpenCV and agglomerative clustering,7,Novel algorithmic approach to text grid alignment
boston_regression.ipynb,80,Multiple regression analysis with statistical diagnostics and ANOVA,5,Good exploratory data analysis demonstration
bradley_terry_luce_preference_modeling.ipynb,120,Pairwise preference modeling using regularized logistic regression with creator covariates,8,Novel application of Bradley-Terry-Luce model to superhero data
classification_anomaly.ipynb,200,Interactive widget-based anomaly detection combining SVM classification with isolation scoring,7,Well-designed interactive visualization with sophisticated methodology
climate_change.ipynb,60,Time series analysis of climate data with FFT analysis and regression,5,Competent analysis of temperature trends
craps_variants.ipynb,140,Game theory simulation of craps variants with fairness analysis,8,Thorough probabilistic analysis with simulation validation
decision_tree_from_scratch.ipynb,150,Complete decision tree classifier implementation from scratch using GINI splitting,8,Excellent from-scratch ML algorithm implementation with full diagnostics
extrema.ipynb,80,Finding extrema using calculus derivatives and numerical optimization,5,Standard optimization demonstration
faces.ipynb,70,Image manipulation with HSV color space transformations and interactive widgets,5,Creative color transformation techniques
fake_math_equalities.ipynb,100,Generation and discovery of near-equal mathematical expressions,7,Clever algorithm for finding fake but close mathematical equalities
fibonacci.ipynb,400,Exhaustive analysis of Fibonacci implementations including matrix exponential and Cython,9,Masterful performance analysis with seven different algorithmic approaches
gaussian_mixture_3d_plot.ipynb,100,Hyperparameter optimization using hyperopt with Gaussian process modeling,6,Well-executed Bayesian optimization demonstration
grifters_skeptics_marks.ipynb,180,Replicator dynamics game theory model with interactive simplex visualization,9,Novel game-theoretic model with sophisticated visualization
hawks_doves_retaliators.ipynb,140,Evolutionary game theory simulation on population simplex,8,Excellent visualization of evolutionary strategy dynamics
inverse_elliptic.ipynb,120,Chebyshev polynomial approximation of elliptic integral inverse function,8,Advanced numerical analysis with performance optimization
inverse_elliptic_2.ipynb,120,Duplicate implementation of elliptic integral inversion,2,Redundant copy of previous notebook
max_of_k_normals.ipynb,60,Distribution analysis of maximum of k iid normal variables,5,Solid statistical analysis with simulations
rabbits.ipynb,40,Exponential rabbit population growth simulation,3,Fun but simplistic biological model
rabin_karp.ipynb,120,Rabin-Karp string search algorithm with word boundary detection in Cython,8,Efficient substring search with performance benchmarking
scalar_optimization.ipynb,80,Comparison of scalar optimization methods with Brent's algorithm implementation,6,Thorough optimization technique analysis
sigmoid_vs_exponential.ipynb,100,Interactive presentation generation comparing sigmoid and exponential fitting,6,Creative approach to function comparison with PowerPoint generation
snakes_and_ladders.ipynb,100,Expected value calculation for Snakes and Ladders using Markov chains,7,Elegant game theory analysis with variant optimization
sphere_ball_remez_pade.ipynb,40,3D sphere visualization with approximation analysis,3,Basic 3D plotting
ttest_robustness.ipynb,60,Robustness analysis of t-test under distribution violations,6,Solid statistical methodology testing
word_distribution_comparison.ipynb,100,Kolmogorov-Smirnov test comparing word length distributions,6,Good statistical distribution comparison
xkcd_chart_examples.ipynb,30,XKCD style chart plotting examples,2,Simple visualization style demo
zalgo.ipynb,20,Unicode combining character text effects,2,Trivial text manipulation example
